pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
0.1928538,-0.1718242,0.5543137,0.06495899,0.03616476,0.6365544,-0.004532637,0.05867151,0.6422004,-0.1363392,-0.0295674,0.6347901,-0.07189412,0.03447926,0.6454956,OPEN
0.1926746,-0.1718539,0.5543211,0.06470643,0.03627481,0.6362656,-0.004801899,0.0587425,0.6419843,-0.1366877,-0.02963737,0.6347648,-0.07222906,0.03450536,0.645343,OPEN
0.1926872,-0.1718797,0.5548561,0.06442105,0.03642029,0.6360053,-0.00500085,0.0588311,0.6417699,-0.1369284,-0.02963808,0.6345674,-0.07246713,0.03456387,0.6451156,OPEN
0.192585,-0.1717809,0.5545418,0.06444836,0.03639787,0.6360279,-0.004967519,0.05879306,0.6419032,-0.1369307,-0.02967947,0.6347715,-0.0724677,0.03451246,0.6453117,OPEN
0.1939476,-0.1717894,0.5557072,0.06508775,0.03652192,0.6360139,-0.004325551,0.05886623,0.6417381,-0.1363961,-0.02979759,0.6340938,-0.0718342,0.03452959,0.6449018,OPEN
0.1946174,-0.1717706,0.5563904,0.0655306,0.03669413,0.635778,-0.003824377,0.05901955,0.641688,-0.1360839,-0.02970119,0.6338975,-0.07128481,0.03470607,0.6447966,OPEN
0.1957833,-0.1722515,0.5580527,0.06580666,0.03688085,0.6352283,-0.003467988,0.05914345,0.6412715,-0.1358493,-0.02971052,0.6334164,-0.07088502,0.03482233,0.6443492,OPEN
0.1962026,-0.1722871,0.5592135,0.0656008,0.03724122,0.6352592,-0.003608593,0.05944316,0.641494,-0.1360611,-0.02946129,0.6335475,-0.07099977,0.03511509,0.644576,OPEN
0.195134,-0.1719262,0.5585799,0.0644266,0.03719009,0.6353268,-0.004731184,0.05925018,0.6415408,-0.1368044,-0.02977096,0.633911,-0.07209944,0.03479521,0.6447772,OPEN
0.1940953,-0.1716519,0.5570721,0.06359615,0.03711634,0.6356583,-0.005670206,0.0591298,0.6416324,-0.1374058,-0.03002266,0.6342856,-0.07307219,0.0345432,0.6449699,OPEN
0.1939283,-0.1715007,0.5566535,0.06345782,0.0372287,0.6360794,-0.005921151,0.05926056,0.6418536,-0.1375854,-0.02994631,0.6344123,-0.07339326,0.03462135,0.6451266,OPEN
0.1938373,-0.1715006,0.5560934,0.06373937,0.0370272,0.6364669,-0.005757315,0.05913128,0.6419634,-0.1372837,-0.02996993,0.63436,-0.07322831,0.03450898,0.6451308,OPEN
0.1945702,-0.1713433,0.5570043,0.06404003,0.03735347,0.636683,-0.005489407,0.05942964,0.6420977,-0.1370965,-0.02978093,0.6341006,-0.07297559,0.03478027,0.6450812,OPEN
0.1935877,-0.1710492,0.5556462,0.06284622,0.03732593,0.6358851,-0.006770262,0.05914022,0.64187,-0.1384232,-0.0305772,0.634254,-0.07426864,0.0342817,0.6450851,OPEN
0.191913,-0.1699335,0.552662,0.06144584,0.03761707,0.6358883,-0.008527816,0.05917376,0.6419881,-0.1399536,-0.0312878,0.6349326,-0.07606107,0.03395842,0.6454777,OPEN
0.1907997,-0.1688312,0.5506842,0.06056397,0.03801911,0.6364541,-0.009781715,0.0594291,0.6423868,-0.1410715,-0.0315777,0.6352753,-0.07739902,0.03394526,0.6458268,OPEN
0.1904177,-0.1684593,0.5498764,0.06021542,0.03813928,0.6366251,-0.01030769,0.05949151,0.6424128,-0.1415078,-0.03177463,0.6352999,-0.07796215,0.03387867,0.6458269,OPEN
0.1904287,-0.1681753,0.5492558,0.0605111,0.0384255,0.6369938,-0.01025834,0.05984389,0.6426321,-0.1416496,-0.03156705,0.6353362,-0.0780403,0.03418523,0.6459618,OPEN
0.1908807,-0.1682905,0.5495533,0.06107289,0.03834545,0.6368182,-0.009633577,0.05977733,0.6423949,-0.1410596,-0.03157554,0.6349279,-0.07738147,0.03416271,0.6456312,OPEN
0.1913984,-0.1685072,0.5502195,0.06139087,0.03831006,0.6365072,-0.00914439,0.05973052,0.6420804,-0.1405956,-0.03157852,0.6344903,-0.07682939,0.03415545,0.6452561,OPEN
0.1913253,-0.168546,0.5505292,0.06112805,0.03838217,0.6361234,-0.009298827,0.05974558,0.6419443,-0.1408451,-0.03163757,0.6345125,-0.07697733,0.0341565,0.6452293,OPEN
0.1909261,-0.1680004,0.5504068,0.06019311,0.03881419,0.6357586,-0.01029773,0.05996446,0.6420164,-0.1417068,-0.03179901,0.6349778,-0.07791289,0.034204,0.6455256,OPEN
0.190074,-0.1670598,0.5491984,0.05925623,0.03907593,0.6360813,-0.0113944,0.06004664,0.6424196,-0.1423726,-0.03200682,0.6356036,-0.07890559,0.03409031,0.6460649,OPEN
0.1891469,-0.1660218,0.5480558,0.05818733,0.0392533,0.6366291,-0.01259647,0.06005125,0.6425124,-0.1430458,-0.03241067,0.6356407,-0.07999957,0.03384671,0.6460688,OPEN
0.1886154,-0.1658416,0.5473639,0.05769873,0.0389992,0.6365906,-0.01307639,0.05972012,0.642225,-0.1433256,-0.03288738,0.6352217,-0.08046518,0.0334207,0.6456713,OPEN
0.1880279,-0.1660323,0.5464873,0.05705836,0.03851661,0.6360407,-0.01363877,0.05912386,0.6416583,-0.1437153,-0.03362615,0.6346931,-0.08102304,0.03273223,0.6451016,OPEN
