pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
-0.748658,-0.1304978,-0.2163331,-0.4098152,0.735238,0.08242381,-0.1483226,0.853556,0.1781967,0.3576244,0.5932063,0.3281492,0.09246226,0.7992752,0.2495618,0.2888552,0.9398109,0.7548985,0.912355,FIVE
-0.7532057,-0.132713,-0.211432,-0.4085635,0.733665,0.09951825,-0.1462793,0.8479275,0.1988002,0.3598485,0.5868446,0.3366364,0.09372427,0.7927395,0.2666988,0.2821502,0.9395412,0.756416,0.9128368,FIVE
-0.7579644,-0.1407215,-0.2032927,-0.4065061,0.7381679,0.1009607,-0.1395427,0.8500407,0.2027449,0.3651458,0.5839146,0.3400151,0.09919625,0.7921879,0.2722847,0.2715037,0.9382011,0.7567201,0.9127936,FIVE
-0.7596179,-0.1429346,-0.1885216,-0.4081924,0.7387073,0.1024422,-0.138649,0.8490165,0.2084057,0.3654432,0.5814743,0.3434645,0.09873386,0.7894797,0.2801518,0.2737562,0.9369947,0.7571099,0.9130108,FIVE
-0.7606485,-0.1431633,-0.1893472,-0.4017773,0.7450492,0.08328828,-0.1336319,0.8550105,0.1873237,0.3667136,0.5880508,0.3287784,0.1008409,0.7953727,0.2599328,0.2702713,0.9378576,0.7588187,0.9128609,FIVE
-0.7585716,-0.1444578,-0.2033217,-0.4016805,0.7476841,0.07610282,-0.1322828,0.86079,0.1754677,0.3656085,0.5952293,0.3213922,0.1012487,0.802612,0.2465039,0.2663193,0.9379646,0.7617973,0.9134151,FIVE
-0.758633,-0.1493494,-0.1932295,-0.4076769,0.7454565,0.09068844,-0.1330032,0.860995,0.1878128,0.3670864,0.5921793,0.3319979,0.1012145,0.8019421,0.2606291,0.2649357,0.9363925,0.7609328,0.9132098,FIVE
-0.7593378,-0.1510127,-0.1923086,-0.4024545,0.7489004,0.0889666,-0.1242035,0.8639512,0.182975,0.3754277,0.5862813,0.3357001,0.108334,0.8019276,0.2601805,0.2572061,0.9356388,0.7563249,0.910499,FIVE
-0.760754,-0.1562842,-0.1879097,-0.4017175,0.7492158,0.0909491,-0.1231127,0.8638934,0.1840952,0.3781061,0.5835997,0.3375477,0.109644,0.8010077,0.2623533,0.2509316,0.9356782,0.7539709,0.9093909,FIVE
-0.762579,-0.159316,-0.181757,-0.3976685,0.7533325,0.08074344,-0.1209399,0.8667252,0.1740912,0.3801185,0.5840139,0.3340155,0.1122197,0.803121,0.2547323,0.246251,0.9365997,0.7517937,0.9085782,FIVE
