pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.1056558,0.7114958,-0.1428329,-0.3236403,0.2727987,-0.1485238,-0.3788752,0.1966208,-0.1615712,-0.3725668,-0.0265354,-0.03974824,-0.3907146,0.07737654,-0.1256413,0.9877533,0.2096145,0.5909742,0.3281136,THUMB
0.09979918,0.7103699,-0.1449396,-0.3268502,0.2675827,-0.1469242,-0.3807882,0.1902323,-0.1586091,-0.3713278,-0.03098502,-0.03546711,-0.3896852,0.07107593,-0.1218718,0.9930313,0.2106289,0.5916318,0.3286837,THUMB
0.09877404,0.7093711,-0.1446282,-0.3262791,0.2643005,-0.1487188,-0.3789455,0.1859071,-0.1602245,-0.369541,-0.03388272,-0.03633988,-0.3867348,0.06695689,-0.1230569,0.9966743,0.2121219,0.5934303,0.3295358,THUMB
0.0955346,0.7088934,-0.1477434,-0.3274012,0.2628424,-0.1480792,-0.3795354,0.1839419,-0.1588873,-0.3695118,-0.03542422,-0.03435405,-0.3867741,0.0650995,-0.1209806,0.9954857,0.212539,0.5945426,0.3297655,THUMB
0.09850108,0.7092152,-0.1450396,-0.3272685,0.2649659,-0.1483705,-0.3797669,0.1862462,-0.1596994,-0.3709666,-0.03399552,-0.03618348,-0.3876993,0.06729315,-0.121804,0.9964533,0.212129,0.5929891,0.3281537,THUMB
0.1016769,0.7095422,-0.1424552,-0.3251607,0.2667301,-0.1484897,-0.3782753,0.1884803,-0.1604605,-0.3704374,-0.03208932,-0.03783896,-0.3868038,0.06962306,-0.123214,0.9954792,0.2122688,0.5925817,0.3283468,THUMB
0.09941561,0.7081801,-0.1467287,-0.3231485,0.262426,-0.1516082,-0.3752484,0.1835871,-0.1625826,-0.3678389,-0.03424126,-0.03772143,-0.3835758,0.06567795,-0.124279,0.9955184,0.2135556,0.5947981,0.3297031,THUMB
0.09960151,0.7072446,-0.1471491,-0.3236485,0.2620203,-0.1518739,-0.3754299,0.1833793,-0.1623013,-0.3678131,-0.03375949,-0.03677022,-0.3835894,0.06559525,-0.123741,0.9971136,0.2126385,0.5941584,0.3294401,THUMB
0.09888897,0.7069659,-0.1473676,-0.32568,0.2608454,-0.1505461,-0.3771977,0.1820037,-0.1604335,-0.3686708,-0.03471022,-0.03447728,-0.3848553,0.06422626,-0.1214955,1.001137,0.2124283,0.5934444,0.328685,THUMB
0.1020693,0.7082829,-0.1459771,-0.3275044,0.2634047,-0.1484314,-0.379704,0.1849518,-0.1591484,-0.3705009,-0.03343816,-0.0352081,-0.3872907,0.06650119,-0.1211208,1.003941,0.2114694,0.5904377,0.326574,THUMB
0.104129,0.7086341,-0.1473325,-0.3266332,0.2652749,-0.1494714,-0.3792256,0.1872334,-0.1609681,-0.3709075,-0.03160352,-0.03765484,-0.3874374,0.06872801,-0.1233543,1.001574,0.2108783,0.5888026,0.3257075,THUMB
0.1052152,0.7088913,-0.148961,-0.3269236,0.2697017,-0.1496757,-0.3812453,0.1929056,-0.1618457,-0.3730872,-0.02750296,-0.0388551,-0.3905648,0.07414021,-0.1244015,0.9951919,0.2090431,0.5855043,0.324167,THUMB
0.0985166,0.7098384,-0.1623973,-0.3302207,0.2698053,-0.1485892,-0.3833404,0.1927935,-0.1594702,-0.3711819,-0.03009804,-0.03523014,-0.3912462,0.07257596,-0.1209052,0.9862145,0.2070778,0.59189,0.3274892,THUMB
0.09704414,0.7082112,-0.1621684,-0.3280944,0.2658273,-0.1519011,-0.3803504,0.1881692,-0.1621667,-0.3691947,-0.03211633,-0.03592352,-0.3877529,0.06877067,-0.1229332,0.9879206,0.2085713,0.5936087,0.3289905,THUMB
0.09586769,0.705973,-0.1593939,-0.3272518,0.262495,-0.1526656,-0.3790871,0.1842011,-0.1616722,-0.3687952,-0.03331777,-0.03345214,-0.3861127,0.06581184,-0.1215815,0.9920433,0.2102189,0.5941312,0.3296984,THUMB
0.09877279,0.7056791,-0.1551427,-0.3255349,0.2635564,-0.1518627,-0.3776295,0.184822,-0.1612722,-0.3689172,-0.03237605,-0.0340903,-0.3848624,0.06646304,-0.1218526,0.9932319,0.2119482,0.5935081,0.3291887,THUMB
0.09698822,0.7063931,-0.15701,-0.3266857,0.2644362,-0.1505971,-0.3795184,0.1858777,-0.1602996,-0.3710155,-0.03159333,-0.03378746,-0.3872657,0.06762775,-0.1210277,0.9903549,0.2118961,0.5907224,0.3271885,THUMB
0.09537971,0.7077432,-0.1563493,-0.3279528,0.2651886,-0.1503217,-0.3814057,0.1870813,-0.1606234,-0.3727321,-0.03116844,-0.03483345,-0.3896464,0.06887233,-0.1216062,0.9888752,0.2110345,0.5883127,0.3257654,THUMB
0.0939944,0.7096652,-0.1608888,-0.3311166,0.2680361,-0.1487167,-0.3845528,0.1905505,-0.1591136,-0.3731602,-0.03117863,-0.03426211,-0.3924355,0.07086503,-0.1203109,0.9850569,0.2082584,0.5900651,0.3264861,THUMB
