pTHUMB_BONE3_X,pTHUMB_BONE3_Y,pTHUMB_BONE3_Z,pINDEX_BONE3_X,pINDEX_BONE3_Y,pINDEX_BONE3_Z,pMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,pRING_BONE3_X,pRING_BONE3_Y,pRING_BONE3_Z,pPINKY_BONE3_X,pPINKY_BONE3_Y,pPINKY_BONE3_Z,target
-0.1892907,0.3125321,-0.309627,-0.1009799,0.871081,0.03274667,-0.440293,0.7737306,0.1682183,-0.3180013,0.1074803,-0.207703,-0.2548991,0.1723286,-0.3085422,TWO
-0.1849546,0.3200874,-0.3068815,-0.09533697,0.8714159,0.03588039,-0.4302676,0.7798547,0.1613591,-0.3135433,0.1009865,-0.2036691,-0.2478061,0.1632869,-0.3047757,TWO
-0.1837924,0.3227766,-0.3042625,-0.1049632,0.8682579,0.03094,-0.4210962,0.787597,0.1477081,-0.3091888,0.09084389,-0.1980135,-0.2404279,0.1502755,-0.2993709,TWO
-0.1816894,0.3246804,-0.3028098,-0.1057308,0.8671743,0.02695603,-0.4118817,0.7932957,0.1473306,-0.3059116,0.08878531,-0.1973206,-0.2349205,0.1466117,-0.2979988,TWO
-0.182356,0.3224202,-0.3036525,-0.1039996,0.8668631,0.01824115,-0.4036882,0.7986214,0.1450735,-0.3049892,0.08924599,-0.1967274,-0.2330577,0.1453124,-0.2973879,TWO
-0.184703,0.319586,-0.3054388,-0.1045616,0.8666169,0.01082298,-0.4026168,0.8004949,0.1401042,-0.3063415,0.08866114,-0.1948293,-0.235578,0.1440149,-0.2963888,TWO
-0.1839157,0.3175502,-0.3093431,-0.09688786,0.8692172,0.001374437,-0.4073898,0.7985527,0.1339787,-0.3091072,0.09008013,-0.1943952,-0.2383165,0.1447244,-0.2962803,TWO
-0.181507,0.3134077,-0.3149911,-0.09150753,0.870726,-0.0127671,-0.4105626,0.798852,0.1206031,-0.3098482,0.09088346,-0.1966104,-0.2389103,0.145514,-0.2983988,TWO
-0.1786413,0.3096659,-0.3185343,-0.08659854,0.8717687,-0.02276731,-0.4125225,0.7990567,0.113378,-0.3120335,0.09663004,-0.198109,-0.2416112,0.1527947,-0.2996595,TWO
-0.1799195,0.3063459,-0.3207054,-0.0855101,0.8717879,-0.02997268,-0.4119827,0.7999461,0.108777,-0.3135715,0.09684757,-0.1981199,-0.2437659,0.1521222,-0.3006738,TWO
-0.176095,0.3085834,-0.3208396,-0.08239916,0.872408,-0.02502565,-0.41263,0.7991091,0.1143181,-0.3123192,0.1014894,-0.2032987,-0.2422899,0.1579143,-0.3043686,TWO
-0.1779007,0.3082848,-0.318649,-0.07991839,0.8733441,-0.01910088,-0.4154838,0.7967742,0.1192616,-0.311656,0.1034818,-0.2049613,-0.2418617,0.1612717,-0.3058127,TWO
-0.1792635,0.306744,-0.3178485,-0.07923286,0.8740517,-0.01498989,-0.4191048,0.7947561,0.1202227,-0.3098608,0.1028768,-0.2076436,-0.2397849,0.1615096,-0.3082896,TWO
-0.1764292,0.2831056,-0.3375703,-0.08941764,0.8738486,-0.04102505,-0.4449157,0.7855514,0.08317477,-0.3068556,0.09782674,-0.2249496,-0.2363052,0.1569048,-0.3264219,TWO
-0.1715277,0.2779903,-0.3460359,-0.09493761,0.8730289,-0.0493084,-0.4480606,0.7856048,0.07092166,-0.3078055,0.09597552,-0.2294914,-0.2366054,0.1533336,-0.3313872,TWO
-0.1715843,0.2748912,-0.3491506,-0.09830273,0.8725607,-0.05361087,-0.4500041,0.7851751,0.06556018,-0.3089817,0.09456506,-0.2304011,-0.2374373,0.1507307,-0.3326088,TWO
-0.1740399,0.2764834,-0.3497454,-0.09602774,0.8717699,-0.05799769,-0.4353368,0.7940685,0.06143852,-0.3126723,0.08968913,-0.21633,-0.2417814,0.1403549,-0.3222756,TWO
-0.1817513,0.2792913,-0.3488082,-0.089765,0.8716796,-0.06221366,-0.41482,0.8044708,0.0722089,-0.3195213,0.08470703,-0.1933606,-0.251525,0.1293167,-0.304466,TWO
-0.2190621,0.2721629,-0.3478563,-0.08580516,0.8681554,-0.106444,-0.3790067,0.8222596,0.05916644,-0.3383834,0.07089251,-0.1284456,-0.2855437,0.1011192,-0.2527673,TWO
-0.2510635,0.2767019,-0.3414424,-0.09008919,0.8623953,-0.1363392,-0.3425803,0.8379997,0.05205752,-0.3419454,0.06158947,-0.0629395,-0.3056507,0.08015978,-0.1958274,TWO
