pTHUMB_BONE3_X,rTHUMB_BONE3_X,pTHUMB_BONE3_Y,rTHUMB_BONE3_Y,pTHUMB_BONE3_Z,rTHUMB_BONE3_Z,pINDEX_BONE3_X,rINDEX_BONE3_X,pINDEX_BONE3_Y,rINDEX_BONE3_Y,pINDEX_BONE3_Z,rINDEX_BONE3_Z,pMIDDLE_BONE3_X,rMIDDLE_BONE3_X,pMIDDLE_BONE3_Y,rMIDDLE_BONE3_Y,pMIDDLE_BONE3_Z,rMIDDLE_BONE3_Z,pRING_BONE3_X,rRING_BONE3_X,pRING_BONE3_Y,rRING_BONE3_Y,pRING_BONE3_Z,rRING_BONE3_Z,pPINKY_BONE3_X,rPINKY_BONE3_X,pPINKY_BONE3_Y,rPINKY_BONE3_Y,pPINKY_BONE3_Z,rPINKY_BONE3_Z,target
-0.004302025,288.5538,0.06348383,262.6335,-0.05096006,47.67282,-0.02435493,300.5508,0.1088485,285.8767,0.01554489,317.3334,-0.0362587,304.9143,0.1023769,294.956,0.04433596,298.2725,-0.04537392,323.1339,0.03705692,309.6469,0.07772946,269.155,-0.04243898,310.8065,0.07745564,302.7934,0.06509924,286.2869,OPEN
-0.03096867,320.7484,0.02309918,206.2324,-0.07971692,120.9801,-0.04605293,307.6453,0.1002355,277.1507,-0.01357126,357.6093,-0.0412426,303.073,0.1084884,291.3036,0.01851439,335.2373,-0.02083445,311.1155,0.06576645,323.938,0.07106042,294.0276,-0.02966261,300.2064,0.09808004,303.8076,0.04333746,320.1496,OPEN
-0.03508234,333.351,0.008534431,202.9346,-0.08390927,124.8723,-0.06085348,318.1067,0.0896064,281.5097,-0.01230764,2.131735,-0.05164242,309.6864,0.1021661,295.4184,0.0204587,340.213,-0.01794291,311.721,0.06870127,331.0907,0.07069802,297.6425,-0.03339434,302.3707,0.09732068,309.1156,0.04379725,324.5093,OPEN
-0.03728914,334.4695,0.006588936,218.4836,-0.08472395,100.5911,-0.08745432,347.0444,0.06143498,284.4359,9.250641E-05,356.2694,-0.08246469,335.1423,0.07193542,295.2197,0.03496718,339.2756,-0.03514862,331.7889,0.04603636,327.2522,0.08271611,307.7842,-0.06094027,327.3316,0.06978774,308.8546,0.06245017,327.1448,OPEN
-0.03061867,344.2315,-0.002705336,218.468,-0.09050179,86.0109,-0.09794903,358.8062,0.04485059,276.9944,-0.008577466,357.201,-0.09891129,350.7127,0.05040765,287.8328,0.02929997,341.6959,-0.05242348,347.073,0.02862477,316.1467,0.08122551,317.2008,-0.0812335,343.8109,0.04798698,299.3631,0.05903077,332.8908,OPEN
-0.002216339,344.4628,0.002697706,198.5762,-0.09496403,70.30114,-0.09531927,354.5294,0.04266262,256.486,-0.03770661,349.0903,-0.1103153,357.8807,0.03723574,264.0066,-0.006502628,336.6374,-0.08217716,3.510071,0.004205465,290.7347,0.05725694,317.558,-0.1046457,356.5753,0.02689219,274.4665,0.02645028,329.9897,OPEN
0.01323986,333.5524,0.02930164,203.7686,-0.07893419,54.58459,-0.06984329,342.032,0.06481349,230.3597,-0.05999994,334.5145,-0.09499645,347.4523,0.05263305,234.6535,-0.04425216,322.0559,-0.0976429,1.678768,-0.002086878,253.6433,0.009278059,300.2048,-0.1040711,352.8232,0.02954793,241.7507,-0.01952648,314.3369,OPEN
0.03292513,282.9238,0.07722366,202.2795,-0.01621914,28.45382,-0.052248,319.6329,0.09257305,215.7881,-0.03710532,306.5479,-0.07911873,325.9081,0.07455611,219.4855,-0.04207635,291.9382,-0.09048843,347.8806,-0.001674056,226.8011,-0.03495431,266.1189,-0.09158039,334.2951,0.04171872,221.9205,-0.04097795,283.271,OPEN
0.05078554,289.3622,0.06868112,44.27787,0.01571989,176.5674,-0.04220772,299.6497,0.1031982,230.3681,0.005231619,281.3717,-0.0733676,306.2711,0.09139943,230.9846,-0.00466466,269.6318,-0.08731842,326.1707,0.02577543,222.2437,-0.03756988,255.5265,-0.08726168,313.5809,0.06515777,227.0775,-0.02003598,266.5891,OPEN
0.05805874,297.3976,0.0623461,50.43292,0.01219535,179.3439,-0.03878117,298.082,0.09491289,272.0747,0.03998399,247.13,-0.07152462,303.0632,0.08561182,264.1679,0.03378415,243.9256,-0.09199715,318.0549,0.03524661,246.5743,-0.0112381,240.9691,-0.0882268,307.4374,0.06571627,254.7017,0.016083,246.7573,OPEN
0.05995607,303.4821,0.06095111,56.00046,0.00509274,191.9039,-0.02773285,301.233,0.09186697,294.5347,0.05321705,240.7192,-0.05970383,305.2469,0.08382392,287.5508,0.05490839,236.7208,-0.09162378,318.6998,0.03360033,267.3068,0.0178405,235.878,-0.08071423,309.2263,0.06308031,277.1588,0.04308164,240.2374,OPEN
0.0509758,293.9865,0.066558,53.00801,-0.006517887,215.6372,-0.01711845,303.142,0.09298289,310.0641,0.05795062,245.2109,-0.04693842,309.0109,0.08334613,305.9703,0.06795669,238.3358,-0.08427858,323.6935,0.02611613,285.0942,0.04472113,235.8622,-0.06818581,312.5542,0.06069875,295.6313,0.06310272,241.2068,OPEN
-0.003168106,288.8336,0.05930376,256.1508,-0.05200517,53.4138,-0.02404308,301.078,0.1077402,286.4924,0.01231074,315.4509,-0.0358367,302.744,0.1049188,292.3355,0.03729486,299.7771,-0.0441432,314.2288,0.04815876,304.1189,0.07065928,273.7482,-0.04115152,305.5877,0.08441579,297.5127,0.05614424,290.4261,OPEN
-0.04415989,320.6989,0.01892614,225.6806,-0.07220244,111.8344,-0.06783152,326.2116,0.08412635,283.6169,-0.005498886,359.9442,-0.0596962,317.5029,0.09538662,293.9285,0.02572584,340.6879,-0.02080202,316.9522,0.0632472,324.8494,0.07364154,301.9089,-0.04152346,312.2325,0.08964908,304.4608,0.04967797,327.8487,OPEN
-0.05377054,335.0077,0.002266645,231.2778,-0.07411933,103.7764,-0.08174324,335.0887,0.07146788,288.1397,0.002415419,2.213008,-0.07371473,331.3582,0.07862401,300.4779,0.03886914,342.393,-0.02394581,330.0893,0.05155802,330.8558,0.08282208,308.4524,-0.05285025,327.7851,0.0740906,310.1905,0.0629971,331.3249,OPEN
-0.03817749,341.4777,-0.002448797,220.6286,-0.08320451,95.95892,-0.08889723,355.9213,0.05019116,282.5585,-0.001492262,0.9873495,-0.08670425,349.028,0.05440998,291.6679,0.03287768,343.9926,-0.03601646,343.5879,0.03404367,324.8199,0.08154309,313.5296,-0.06579971,340.5125,0.05302167,305.2493,0.06134224,332.5989,OPEN
-0.01272583,347.2373,-0.004452467,206.4988,-0.08965397,80.77439,-0.09036255,353.7578,0.04086471,267.0079,-0.0227108,357.062,-0.09890747,354.9387,0.03823447,274.6299,0.007430792,343.5197,-0.06155539,354.1416,0.01830816,306.4579,0.06736016,319.7984,-0.08724117,350.3705,0.03564239,286.6453,0.03951216,335.0805,OPEN
0.01435661,339.0015,0.01250982,194.2086,-0.08179867,66.94684,-0.06630993,335.8365,0.06104434,239.6037,-0.05065644,341.73,-0.08911133,340.9591,0.05267477,247.6848,-0.03023374,328.4172,-0.08774853,357.3109,0.007418394,268.593,0.02467787,307.507,-0.09473181,346.1913,0.03639102,253.8623,-0.005043626,321.6648,OPEN
0.02430344,299.0013,0.06267679,208.9937,-0.03509998,32.68726,-0.04990911,319.4293,0.08595836,226.8144,-0.02686238,308.8835,-0.07597637,326.8251,0.07021546,228.7142,-0.02619147,295.6251,-0.08724403,346.8352,0.003373861,235.677,-0.01752651,270.7642,-0.08722734,333.8727,0.04219007,230.5574,-0.02322316,287.8787,OPEN
0.04273224,277.1123,0.06158066,92.50653,-0.006551862,142.9459,-0.02374554,292.8724,0.09928977,229.9613,0.01171446,296.4321,-0.05272627,299.5379,0.09259176,228.1277,0.006135702,286.1646,-0.07457018,316.7823,0.03777528,210.443,-0.02233338,276.6855,-0.06911945,308.5506,0.07038438,217.089,-0.008230925,287.8579,OPEN
0.04617453,281.2461,0.05825806,53.33376,-0.004062891,193.3563,-0.01289988,286.8457,0.09434795,251.4699,0.03618073,283.0684,-0.04328108,291.5744,0.08969951,253.1741,0.03788042,269.5746,-0.07206488,305.6412,0.04706454,211.9469,-0.0005710125,282.9971,-0.0640626,298.5698,0.07284236,234.9658,0.02242184,278.771,OPEN
0.05217743,291.2116,0.05639088,47.50773,0.002043009,202.41,-0.01373959,288.7946,0.08903682,279.5543,0.04673588,256.033,-0.04514885,294.7235,0.0832907,275.8349,0.04856062,247.6646,-0.07884979,306.5527,0.03984714,250.4537,0.0144732,248.4622,-0.06695938,300.0625,0.06580138,264.4238,0.03649259,251.1902,OPEN
